,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,passage,tags,type
16,16,16,16,16,"Households with sick family members

* Give sick members their own room if possible, and keep the door closed

* Have only one family member care for them

* Consider providing additional protections or more intensive care for household members over 65 years old or with underlying conditions
",[],coronavirus
17,17,17,17,17,"Households with vulnerable seniors or those with significant underlying conditions
",[],coronavirus
18,18,18,18,18,"Significant underlying conditions include heart, lung, kidney disease; diabetes; and conditions that suppress the immune system

* Have the healthy people in the household conduct themselves as if they were a significant risk to the person with underlying conditions. For example, wash hands frequently before interacting with the person, such as by feeding or caring for the person

* If possible, provide a protected space for vulnerable household members

* Ensure all utensils and surfaces are cleaned regularly
","[{'text': 'heart', 'sem_type': 'mesoderm-derived structure', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000948', 'start_span': 42, 'end_span': 47}, {'text': 'lung', 'sem_type': 'respiration organ', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0002048', 'start_span': 49, 'end_span': 53}, {'text': 'kidney disease', 'sem_type': 'urinary system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_557', 'start_span': 55, 'end_span': 69}, {'text': 'diabetes', 'sem_type': 'glucose metabolism disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0081062', 'start_span': 71, 'end_span': 79}, {'text': 'immune system', 'sem_type': 'anatomical system', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0002405', 'start_span': 114, 'end_span': 127}]",coronavirus
19,19,19,19,19,"Keeping commercial establishments safe
",[],coronavirus
20,20,20,20,20,"Encourage your employees and customers to…
",[],coronavirus
21,21,21,21,21,"Practice good hygiene

* Stop handshaking – use other noncontact methods of greeting

* Clean hands at the door, and schedule regular hand washing reminders by email

* Promote tap and pay to limit handling of cash

* Disinfect surfaces like doorknobs, tables, desks, and handrails regularly

* Increase ventilation by opening windows or adjusting air conditioning
",[],coronavirus
22,22,22,22,22,"Avoid crowding

* Use booking and scheduling to stagger customer flow

* Use online transactions where possible

* Consider limiting attendance at larger gatherings
",[],coronavirus
23,23,23,23,23,"For transportation businesses, taxis, and ride shares

* Keep windows open when possible

* Increase ventilation

* Regularly disinfect surfaces
",[],coronavirus
24,24,24,24,24,"Source: https://www.cdc.gov/coronavirus/2019-ncov/downloads/workplace-school-and-home-guidance.pdf
",[],coronavirus
25,25,25,25,25,"What you need to know about coronavirus disease 2019 (COVID-19)
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 54, 'end_span': 62}]",coronavirus
26,26,26,26,26,"What is coronavirus disease 2019 (COVID-19)?
Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. The virus that causes COVID-19 is a novel coronavirus that was first identified during an investigation into an outbreak in Wuhan, China.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 34, 'end_span': 42}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 71, 'end_span': 79}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 167, 'end_span': 175}]",coronavirus
27,27,27,27,27,"Can people in the U.S. get COVID-19?
Yes. COVID-19 is spreading from person to person in parts of the United States. Risk of infection with COVID-19 is higher for people who are close contacts of someone known to have COVID-19, for example healthcare workers, or household members. Other people at higher risk for infection are those who live in or have recently been in an area with ongoing spread of COVID-19. Learn more about places with ongoing spread at https://www.cdc.gov/coronavirus/2019-ncov/about/transmission.html#geographic.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 27, 'end_span': 35}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 42, 'end_span': 50}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 140, 'end_span': 148}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 218, 'end_span': 226}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 402, 'end_span': 410}]",coronavirus
28,28,28,28,28,"Have there been cases of COVID-19 in the U.S.?
Yes. The first case of COVID-19 in the United States was reported on January 21, 2020. The current count of cases of COVID-19 in the United States is available on CDC’s webpage at https://www.cdc.gov/coronavirus/2019-ncov/cases-in-us.html.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 25, 'end_span': 33}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 70, 'end_span': 78}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 164, 'end_span': 172}]",coronavirus
29,29,29,29,29,"How does COVID-19 spread?
The virus that causes COVID-19 probably emerged from an animal source, but is now spreading from person to person.
The virus is thought to spread mainly between people who are in close contact with one another (within about 6 feet) through respiratory droplets produced when an infected person coughs or sneezes. It also may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. Learn what is known about the spread of newly emerged coronaviruses at https://www.cdc.gov/coronavirus/2019-ncov/about/transmission.html.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 9, 'end_span': 17}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 48, 'end_span': 56}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 385, 'end_span': 393}, {'text': 'mouth', 'sem_type': 'subdivision of digestive tract', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000165', 'start_span': 479, 'end_span': 484}, {'text': 'nose', 'sem_type': 'organism subdivision', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000004', 'start_span': 486, 'end_span': 490}]",coronavirus
30,30,30,30,30,"What are the symptoms of COVID-19?
Patients with COVID-19 have had mild to severe respiratory illness with symptoms of
• fever
• cough
• shortness of breath
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 25, 'end_span': 33}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 49, 'end_span': 57}, {'text': 'fever', 'sem_type': 'neurological and physiological symptom', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0000613', 'start_span': 121, 'end_span': 126}, {'text': 'cough', 'sem_type': 'respiratory system and chest symptom', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0000614', 'start_span': 129, 'end_span': 134}, {'text': 'shortness of breath', 'sem_type': 'respiratory abnormality', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0019153', 'start_span': 137, 'end_span': 156}]",coronavirus
31,31,31,31,31,"What are severe complications from this virus?
Some patients have pneumonia in both lungs, multi-organ failure and in some cases death.
","[{'text': 'pneumonia', 'sem_type': 'pneumonitis', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0019168', 'start_span': 66, 'end_span': 75}, {'text': 'organ', 'sem_type': 'multicellular anatomical structure', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000062', 'start_span': 97, 'end_span': 102}]",coronavirus
32,32,32,32,32,"How can I help protect myself?
People can help protect themselves from respiratory illness with everyday preventive actions.  
• Avoid close contact with people who are sick.
• Avoid touching your eyes, nose, and mouth with unwashed hands.
• Wash your hands often with soap and water for at least 20 seconds. Use an alcohol-based hand sanitizer that contains at least 60% alcohol if soap and water are not available. If you are sick, to keep from spreading respiratory illness to others, you should
• Stay home when you are sick.
• Cover your cough or sneeze with a tissue, then throw the tissue in the trash.
• Clean and disinfect frequently touched objects and surfaces.
","[{'text': 'nose', 'sem_type': 'organism subdivision', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000004', 'start_span': 203, 'end_span': 207}, {'text': 'mouth', 'sem_type': 'subdivision of digestive tract', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000165', 'start_span': 213, 'end_span': 218}, {'text': 'alcohol', 'sem_type': 'organic hydroxy compound', 'concept_id': 'http://purl.obolibrary.org/obo/CHEBI_30879', 'start_span': 316, 'end_span': 323}, {'text': 'alcohol', 'sem_type': 'organic hydroxy compound', 'concept_id': 'http://purl.obolibrary.org/obo/CHEBI_30879', 'start_span': 372, 'end_span': 379}, {'text': 'cough', 'sem_type': 'respiratory system and chest symptom', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0000614', 'start_span': 543, 'end_span': 548}, {'text': 'tissue', 'sem_type': 'multicellular anatomical structure', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000479', 'start_span': 566, 'end_span': 572}, {'text': 'tissue', 'sem_type': 'multicellular anatomical structure', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0000479', 'start_span': 589, 'end_span': 595}]",coronavirus
33,33,33,33,33,"What should I do if I recently traveled from an area with ongoing spread of COVID-19?
If you have traveled from an affected area, there may be restrictions on your movements for up to 2 weeks. If you develop symptoms during that period (fever, cough, trouble breathing), seek medical advice. Call the office of your health care provider before you go, and tell them about your travel and your symptoms. They will give you instructions on how to get care without exposing other people to your illness. While sick, avoid contact with people, don’t go out and delay any travel to reduce the possibility of spreading illness to others.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 76, 'end_span': 84}, {'text': 'fever', 'sem_type': 'neurological and physiological symptom', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0000613', 'start_span': 237, 'end_span': 242}, {'text': 'cough', 'sem_type': 'respiratory system and chest symptom', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0000614', 'start_span': 244, 'end_span': 249}]",coronavirus
34,34,34,34,34,"Is there a vaccine?
There is currently no vaccine to protect against COVID-19. The best way to prevent infection is to take everyday preventive actions, like avoiding close contact with people who are sick and washing your hands often.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 69, 'end_span': 77}]",coronavirus
35,35,35,35,35,"Is there a treatment?
There is no specific antiviral treatment for COVID-19. People with COVID-19 can seek medical care to help relieve symptoms.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 67, 'end_span': 75}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 89, 'end_span': 97}]",coronavirus
36,36,36,36,36,"For more information: https://www.cdc.gov/COVID19
",[],coronavirus
37,37,37,37,37,"Coronavirus: action plan
A guide to what you can expect across the UK
Published 3 March 2020
",[],coronavirus
38,38,38,38,38,"Contents
1. Introduction ...................................................................................................................4
2. What we know about the virus and the diseases it causes ...........................................5
3. How the UK prepares for infectious disease outbreaks.................................................7
Planning Principles...........................................................................................................9
4. Our response to the current coronavirus outbreak ......................................................11
Current planning.............................................................................................................11
The phased response - what we have done so far.........................................................11
The role the public can play in supporting this response................................................16
The phased response - what we will do next..................................................................17
Annex A - responsibilities for pandemic preparedness and response ...............................22
National responsibilities..................................................................................................22
Local/Regional responsibilities .......................................................................................22
Multi-agency working......................................................................................................23
Other key public services ...............................................................................................23
Annex B - expert advice and guidance ..............................................................................24
References ........................................................................................................................25
","[{'text': 'infectious disease', 'sem_type': 'disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0050117', 'start_span': 273, 'end_span': 291}, {'text': 'role', 'sem_type': 'chebi', 'concept_id': 'http://purl.obolibrary.org/obo/CHEBI_50906', 'start_span': 827, 'end_span': 831}]",coronavirus
39,39,39,39,39,"1. Introduction
",[],coronavirus
40,40,40,40,40,"1.1 The current novel coronavirus (COVID-19) outbreak, which began in December 2019, presents a significant challenge for the entire world. The UK Government and the Devolved Administrations, including the health and social care systems, have planned extensively over the years for an event like this, and the UK is therefore well prepared to respond in a way that offers substantial protection to the public.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 35, 'end_span': 43}]",coronavirus
41,41,41,41,41,"1.2 Of course, this is a new virus, and new technology and the increasing connectivity of our world mean that our plans need to be kept up to date, to reflect that illnesses – and news and information about them – travel much more quickly today than even ten years ago.
",[],coronavirus
42,42,42,42,42,"1.3 Recognising the respective roles and responsibilities of the UK Government and Devolved Administrations, this document sets out what the UK as a whole has already done - and plans to do further - to tackle the current coronavirus outbreak, based on our wealth of experience dealing with other infectious diseases and our influenza pandemic preparedness work. The exact response to COVID-19 will be tailored to the nature, scale and location of the threat in the UK, as our understanding of this develops.
","[{'text': 'influenza', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 325, 'end_span': 334}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 385, 'end_span': 393}]",coronavirus
43,43,43,43,43,"1.4 This document sets out:
• what we know about the virus and the disease it causes
• how we have planned for an infectious disease outbreak, such as the current coronavirus outbreak
• the actions we have taken so far in response to the current coronavirus outbreak
• what we are planning to do next, depending upon the course the current coronavirus outbreak takes.
• the role the public can play in supporting this response, now and in the future.
","[{'text': 'infectious disease', 'sem_type': 'disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0050117', 'start_span': 114, 'end_span': 132}, {'text': 'role', 'sem_type': 'chebi', 'concept_id': 'http://purl.obolibrary.org/obo/CHEBI_50906', 'start_span': 374, 'end_span': 378}]",coronavirus
44,44,44,44,44,"2. What we know about the virus and the diseases it causes
",[],coronavirus
45,45,45,45,45,"2.1 Coronaviruses are a family of viruses common across the world in animals and humans; certain types cause illnesses in people. For example, some coronaviruses cause the common cold; others cause diseases which are much more severe such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS), both of which often lead to pneumonia.
","[{'text': 'viruses', 'sem_type': 'ncbitaxon', 'concept_id': 'http://purl.obolibrary.org/obo/NCBITaxon_10239', 'start_span': 34, 'end_span': 41}, {'text': 'common cold', 'sem_type': 'upper respiratory tract disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_10459', 'start_span': 172, 'end_span': 183}, {'text': 'Middle East Respiratory Syndrome', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080642', 'start_span': 242, 'end_span': 274}, {'text': 'Severe Acute Respiratory Syndrome', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_2945', 'start_span': 286, 'end_span': 319}, {'text': 'SARS', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_2945', 'start_span': 321, 'end_span': 325}, {'text': 'pneumonia', 'sem_type': 'pneumonitis', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0019168', 'start_span': 356, 'end_span': 365}]",coronavirus
46,46,46,46,46,"2.2 COVID-19 is the illness seen in people infected with a new strain of coronavirus not previously seen in humans. On 31st December 2019, Chinese authorities notified the World Health Organisation (WHO) of an outbreak of pneumonia in Wuhan City, which was later classified as a new disease: COVID-19.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 4, 'end_span': 12}, {'text': 'pneumonia', 'sem_type': 'pneumonitis', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0019168', 'start_span': 222, 'end_span': 231}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 292, 'end_span': 300}]",coronavirus
47,47,47,47,47,"2.3 On 30th January 2020, WHO declared the outbreak of COVID-19 a “Public Health Emergency of International Concern” (PHEIC).
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 55, 'end_span': 63}]",coronavirus
48,48,48,48,48,"2.4 Based on current evidence, the main symptoms of COVID-19 are a cough, a high temperature and, in severe cases, shortness of breath.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 52, 'end_span': 60}, {'text': 'cough', 'sem_type': 'respiratory system and chest symptom', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0000614', 'start_span': 67, 'end_span': 72}, {'text': 'shortness of breath', 'sem_type': 'respiratory abnormality', 'concept_id': 'http://purl.obolibrary.org/obo/SYMP_0019153', 'start_span': 115, 'end_span': 134}]",coronavirus
49,49,49,49,49,"2.5 As it is a new virus, the lack of immunity in the population (and the absence as yet of an effective vaccine) means that COVID-19 has the potential to spread extensively. The current data seem to show that we are all susceptible to catching this disease, and thus it also more likely than not that the UK will be significantly affected. Among those who become infected, some will exhibit no symptoms¹. Early data suggest that of those who develop an illness, the great majority² will have a mild-to-moderate, but self-limiting illness – similar to seasonal flu³.
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 125, 'end_span': 133}]",coronavirus
50,50,50,50,50,"2.6 It is, however, also clear that a minority of people who get COVID-19 will develop complications severe enough to require hospital care⁴, most often pneumonia. In a small proportion of these, the illness may be severe enough to lead to death⁵. So far the data we have suggest that the risk of severe disease and death increases amongst elderly people and in people with underlying health risk conditions (in the same way as for seasonal flu)⁶ ⁷. Illness is less common and usually less severe in younger adults⁸. Children can be infected⁹ and can have a severe illness¹ᵒ, but based on current data overall illness seems rarer in people under 20 years of age. So far, there has been no obvious sign that pregnant women are more likely to be seriously affected¹¹ ¹².
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 65, 'end_span': 73}, {'text': 'pneumonia', 'sem_type': 'lung disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_552', 'start_span': 153, 'end_span': 162}]",coronavirus
51,51,51,51,51,"2.7 Given that the data are still emerging, we are uncertain of the impact of an outbreak on business. In a stretching scenario, it is possible that up to one fifth of employees may be absent from work during peak weeks. This may vary for individual businesses.
",[],coronavirus
52,52,52,52,52,"2.8 We do not yet have entirely complete data on this disease. But as we learn more about the virus, its effects and its behaviour (for example, the timing and extent of the peak of an outbreak, its precise impact on individuals), we will be able to revise estimates of its potential spread, severity and impact¹³. We will then review, and (where necessary) adapt this plan accordingly.
",[],coronavirus
53,53,53,53,53,"2.9 Work is in hand to contain the spread of the virus. This includes extensive guidance provided to individuals returning from areas where there are cases being reported, and encouraging self-isolation as the primary means to contain the spread of the disease. Given that there is currently neither a vaccine against COVID-19 nor any specific, proven, antiviral medication¹⁴ ¹⁵, most treatment will therefore be towards managing symptoms and providing support to patients with complications. The majority of people with COVID-19 have recovered without the need for any specific treatment, as is the case for the common cold or seasonal flu- and we expect that the vast majority of cases will best be managed at home, again as with seasonal colds and flu. 
","[{'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 318, 'end_span': 326}, {'text': 'COVID-19', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080600', 'start_span': 521, 'end_span': 529}, {'text': 'common cold', 'sem_type': 'upper respiratory tract disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_10459', 'start_span': 613, 'end_span': 624}, {'text': 'flu', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 751, 'end_span': 754}]",coronavirus
54,54,54,54,54,"3. How the UK prepares for infectious disease outbreaks
","[{'text': 'infectious disease', 'sem_type': 'disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0050117', 'start_span': 27, 'end_span': 45}]",coronavirus
55,55,55,55,55,"3.1 The table below shows the impact of some of the major respiratory virus pandemics and epidemics in the last 100 years.

Major respiratory virus outbreaks

Spanish Flu 1918 – 1919 Severe influenza pandemic

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| Unclear | ≥ 2% | 20 – 50 million | 200,000 | Young adults, elderly and young children |

Asian Flu 1957 – 1958 Moderate influenza pandemic

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| Southern China | 0.1 – 0.2% | 1 – 4 million | 33,000 | Children |

Hong Kong Flu 1968 – 1969 Moderate influenza pandemic

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| Southern China | 0.2 – 0.4% | 1 – 4 million | 80,000 | All age groups |

Swine Flu 2009 – 2010 Very mild influenza pandemic

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| Mexico | <0.025% | 18,000 | 457 | Children, young adults and pregnant women |

Middle East Respiratory Syndrome 2012 Continuing coronavirus pandemic threat

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| Middle East | >30% | 861 | 0 | Elderly (60+) |

Serious Acute Respiratory Syndrome 2002 - 2003 Severe coronavirus pandemic ‘near-miss’

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| China | <10% | 774 | 0 | Middle aged adults (45 - 65) |

Seasonal flu epidemic 1989 - 1990 Severe influenza seasonal epidemic

| Area of emergence | Estimated case fatality ratio* | Estimated attributable excess mortality worldwide | Estimated attributable excess mortality in the UK | Age groups most affected |
| --- | --- | --- | --- | --- |
| UK | Data not available | Not applicable | 26,000 excess deaths in England & Wales | Elderly 75+ |

* the proportion of people who became ill with symptoms and subsequently died
","[{'text': 'Flu', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 167, 'end_span': 170}, {'text': 'influenza', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 190, 'end_span': 199}, {'text': 'Flu', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 525, 'end_span': 528}, {'text': 'influenza', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 550, 'end_span': 559}, {'text': 'Flu', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 867, 'end_span': 870}, {'text': 'influenza', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 892, 'end_span': 901}, {'text': 'Flu', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 1211, 'end_span': 1214}, {'text': 'influenza', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 1237, 'end_span': 1246}, {'text': 'Middle East Respiratory Syndrome', 'sem_type': 'Coronavirus infectious disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_0080642', 'start_span': 1556, 'end_span': 1588}, {'text': 'Syndrome', 'sem_type': 'disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_225', 'start_span': 1928, 'end_span': 1936}, {'text': 'flu', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 2276, 'end_span': 2279}, {'text': 'influenza', 'sem_type': 'respiratory system disease', 'concept_id': 'http://purl.obolibrary.org/obo/DOID_8469', 'start_span': 2308, 'end_span': 2317}]",coronavirus
